"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"14-Oct-2021","EQ","69.00","81.00","69.00","68.95","78.05","78.75","75.96","81.00","32.25",11727216,"890,821,182.20",34483
"13-Oct-2021","EQ","74.00","74.00","68.35","73.25","69.20","68.95","70.28","74.00","32.25",8609954,"605,131,600.15",28209
"12-Oct-2021","EQ","61.40","73.25","60.85","61.05","73.25","73.25","70.47","73.25","32.25",25292531,"1,782,443,697.85",60807
"11-Oct-2021","EQ","61.40","61.75","60.50","61.20","61.25","61.05","61.10","63.50","32.25",960729,"58,701,893.05",4462
"08-Oct-2021","EQ","62.80","62.80","60.55","62.35","61.05","61.20","61.68","63.50","32.25",1473476,"90,880,460.40",6570
"07-Oct-2021","EQ","60.70","63.00","60.70","59.85","62.40","62.35","61.84","63.50","32.25",2364245,"146,203,180.75",8210
"06-Oct-2021","EQ","62.45","62.85","58.85","62.10","60.40","59.85","60.94","63.50","32.25",3784948,"230,673,418.40",13201
"05-Oct-2021","EQ","58.30","63.50","58.00","58.35","62.05","62.10","61.94","63.50","32.25",14628182,"906,114,835.25",39349
"04-Oct-2021","EQ","54.60","59.65","54.35","54.30","58.70","58.35","57.93","59.65","32.25",12774544,"740,090,424.75",37213
"01-Oct-2021","EQ","51.70","55.20","51.10","51.95","54.40","54.30","54.07","58.00","32.00",4521676,"244,471,394.25",16678
"30-Sep-2021","EQ","53.00","53.35","51.70","52.70","52.05","51.95","52.43","58.00","32.00",881934,"46,242,864.35",3575
"29-Sep-2021","EQ","51.00","53.50","50.80","51.20","52.75","52.70","52.29","58.00","32.00",2080440,"108,783,812.10",6809
"28-Sep-2021","EQ","51.55","53.00","50.90","51.15","51.25","51.20","51.69","58.00","32.00",1240826,"64,144,315.50",5063
"27-Sep-2021","EQ","51.95","52.30","51.00","51.50","51.25","51.15","51.64","58.00","32.00",901535,"46,557,604.95",3204
"24-Sep-2021","EQ","52.05","52.70","51.25","52.00","51.50","51.50","51.74","58.00","31.35",714006,"36,944,127.90",2561
"23-Sep-2021","EQ","52.85","53.55","51.70","52.60","51.85","52.00","52.65","58.00","31.35",1725895,"90,863,402.55",6005
"22-Sep-2021","EQ","53.00","55.90","52.25","51.00","52.50","52.60","53.99","58.00","31.35",8128024,"438,815,983.40",20785
"21-Sep-2021","EQ","50.45","52.40","49.80","50.20","51.00","51.00","50.85","58.00","31.35",1076367,"54,733,702.60",4414
"20-Sep-2021","EQ","50.10","52.15","49.75","50.80","50.55","50.20","50.89","58.00","31.35",1019834,"51,895,616.95",4240
"17-Sep-2021","EQ","52.10","52.40","50.50","52.00","50.90","50.80","51.17","58.00","31.35",1166684,"59,695,599.25",4712
"16-Sep-2021","EQ","52.50","52.90","51.70","52.30","51.90","52.00","52.29","58.00","31.35",1118749,"58,503,653.25",4720
"15-Sep-2021","EQ","54.80","55.85","52.05","54.20","52.40","52.30","54.09","58.00","31.35",3340164,"180,681,382.05",10967
"14-Sep-2021","EQ","51.75","54.50","51.20","50.80","54.15","54.20","53.29","58.00","31.35",7168982,"382,033,909.70",20049
"13-Sep-2021","EQ","50.60","51.90","50.40","50.30","50.90","50.80","51.21","58.00","31.35",994598,"50,937,615.25",3734
"09-Sep-2021","EQ","50.75","52.00","50.10","50.80","50.45","50.30","50.83","58.00","31.35",830688,"42,224,646.40",3374
"08-Sep-2021","EQ","51.25","52.55","50.60","51.05","50.70","50.80","51.30","58.00","31.35",1000556,"51,329,269.25",3796
"07-Sep-2021","EQ","52.20","52.60","50.80","52.10","51.20","51.05","51.66","58.00","31.35",700876,"36,204,792.05",3501
"06-Sep-2021","EQ","52.00","53.90","51.20","51.85","52.00","52.10","52.79","58.00","31.35",2687504,"141,870,438.85",9664
"03-Sep-2021","EQ","49.55","53.80","49.35","49.30","51.80","51.85","52.16","58.00","31.35",4401303,"229,581,400.35",14411
"02-Sep-2021","EQ","48.70","49.90","48.40","48.55","49.40","49.30","49.24","58.00","31.35",704638,"34,699,363.35",3058
"01-Sep-2021","EQ","48.90","49.25","48.10","48.80","48.45","48.55","48.71","58.00","31.35",340915,"16,604,440.75",1883
"31-Aug-2021","EQ","48.75","49.85","48.35","48.65","49.15","48.80","49.07","58.00","31.35",678288,"33,280,898.00",2908
"30-Aug-2021","EQ","49.20","50.00","48.40","49.00","48.50","48.65","49.22","58.00","31.35",463468,"22,811,868.75",2703
