"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"14-Oct-2021","EQ","44.30","46.40","43.10","43.85","45.15","45.65","44.93","48.95","26.25",21452930,"963,833,573.70",46442
"13-Oct-2021","EQ","46.80","46.90","43.60","46.40","44.10","43.85","45.05","48.95","26.25",11900767,"536,163,633.50",35017
"12-Oct-2021","EQ","42.80","47.40","42.70","43.00","46.40","46.40","45.98","48.95","26.25",51163755,"2,352,448,501.45",84094
"11-Oct-2021","EQ","43.40","43.60","42.65","43.10","43.00","43.00","43.17","48.95","26.25",4551678,"196,500,562.20",11101
"08-Oct-2021","EQ","43.80","43.80","42.75","43.50","43.15","43.10","43.15","48.95","26.25",5725341,"247,064,414.90",10476
"07-Oct-2021","EQ","43.10","44.00","43.05","42.60","43.65","43.50","43.53","48.95","26.25",7031252,"306,072,227.80",13085
"06-Oct-2021","EQ","44.70","44.70","42.15","44.35","43.00","42.60","43.18","48.95","26.25",11619485,"501,686,187.15",20620
"05-Oct-2021","EQ","43.65","45.15","43.10","43.80","44.35","44.35","44.37","48.95","26.25",23094444,"1,024,595,744.95",35593
"04-Oct-2021","EQ","41.90","44.50","41.90","41.55","43.70","43.80","43.49","48.95","26.25",28761444,"1,250,854,352.00",49116
"01-Oct-2021","EQ","37.70","41.90","37.60","37.95","41.70","41.55","40.87","48.95","26.25",33514543,"1,369,583,357.90",51000
"30-Sep-2021","EQ","38.70","38.90","37.70","38.55","37.85","37.95","38.21","48.95","26.25",4134615,"157,991,990.80",7970
"29-Sep-2021","EQ","37.65","39.40","37.65","38.15","38.40","38.55","38.50","48.95","26.25",5910891,"227,593,053.25",10857
"28-Sep-2021","EQ","37.85","39.35","37.55","37.75","38.15","38.15","38.31","48.95","26.25",6301168,"241,417,907.55",11982
"27-Sep-2021","EQ","38.25","38.30","37.50","38.10","37.80","37.75","37.86","48.95","26.25",3983656,"150,811,501.45",6800
"24-Sep-2021","EQ","39.25","39.30","37.85","38.90","38.20","38.10","38.32","48.95","26.25",4411226,"169,054,477.20",8590
"23-Sep-2021","EQ","39.60","40.20","38.20","39.10","38.90","38.90","39.28","48.95","26.25",8301727,"326,085,768.45",14702
"22-Sep-2021","EQ","38.45","40.35","37.80","36.60","39.05","39.10","39.25","48.95","26.25",26417095,"1,036,992,497.15",40119
"21-Sep-2021","EQ","36.90","37.20","35.90","36.80","36.65","36.60","36.47","48.95","26.25",4017915,"146,527,740.95",7612
"20-Sep-2021","EQ","36.80","38.60","36.65","37.15","36.95","36.80","37.51","48.95","26.25",6113740,"229,341,830.55",11143
"17-Sep-2021","EQ","38.40","38.45","36.85","38.20","37.30","37.15","37.48","48.95","26.25",6968013,"261,160,148.25",12536
"16-Sep-2021","EQ","38.80","39.10","37.65","38.70","38.20","38.20","38.34","48.95","26.25",5329777,"204,347,087.55",12893
"15-Sep-2021","EQ","40.00","41.25","38.40","39.80","38.75","38.70","39.86","48.95","26.25",13266169,"528,850,069.80",26547
"14-Sep-2021","EQ","36.30","40.40","36.30","36.10","39.70","39.80","39.03","48.95","26.25",26231460,"1,023,919,042.85",47886
"13-Sep-2021","EQ","35.50","36.65","35.50","35.70","36.00","36.10","36.20","48.95","26.25",3421308,"123,835,901.30",8731
"09-Sep-2021","EQ","35.65","36.00","35.55","35.75","35.65","35.70","35.72","48.95","26.25",1858744,"66,397,547.10",5547
"08-Sep-2021","EQ","36.00","36.15","35.65","35.85","35.80","35.75","35.85","48.95","26.25",2150869,"77,107,322.80",4377
"07-Sep-2021","EQ","36.60","36.60","35.75","36.45","35.90","35.85","36.09","48.95","26.25",2383326,"86,012,566.85",5905
"06-Sep-2021","EQ","36.40","37.50","36.15","36.25","36.45","36.45","36.80","48.95","26.25",6305049,"232,027,804.00",12152
"03-Sep-2021","EQ","36.00","36.95","35.80","35.55","36.20","36.25","36.41","48.95","26.25",8937716,"325,414,162.10",18046
"02-Sep-2021","EQ","34.75","36.15","34.50","34.55","35.70","35.55","35.08","48.95","26.25",4544598,"159,429,617.55",9907
"01-Sep-2021","EQ","35.30","35.30","34.35","35.10","34.65","34.55","34.80","48.95","26.25",2319504,"80,728,681.45",5639
"31-Aug-2021","EQ","34.55","35.40","34.50","34.50","35.10","35.10","35.01","48.95","26.25",2808377,"98,321,659.05",6365
"30-Aug-2021","EQ","34.70","34.95","34.35","34.40","34.55","34.50","34.63","48.95","26.25",2339656,"81,011,420.05",6212
"27-Aug-2021","EQ","34.70","34.95","34.30","34.60","34.35","34.40","34.59","48.95","26.25",2702536,"93,470,493.30",5802
"26-Aug-2021","EQ","35.05","35.45","34.50","34.90","34.60","34.60","34.83","48.95","26.25",2519214,"87,738,629.75",6375
"25-Aug-2021","EQ","34.80","35.70","34.60","34.55","35.00","34.90","35.03","48.95","26.25",3394676,"118,920,449.55",8066
"24-Aug-2021","EQ","33.65","34.85","33.35","33.45","34.75","34.55","34.11","48.95","26.25",4129243,"140,840,073.45",12738
"23-Aug-2021","EQ","35.05","35.40","33.20","34.70","33.35","33.45","33.97","48.95","26.25",4388650,"149,096,253.50",10510
"20-Aug-2021","EQ","35.75","36.35","34.50","36.75","34.55","34.70","35.35","48.95","26.25",5036428,"178,058,831.80",13413
"18-Aug-2021","EQ","36.85","37.45","36.30","36.70","36.65","36.75","36.74","48.95","26.25",3515754,"129,158,387.60",7486
"17-Aug-2021","EQ","36.85","37.25","36.50","36.85","36.65","36.70","36.81","48.95","26.25",3292569,"121,189,806.70",6843
"16-Aug-2021","EQ","37.40","37.65","36.60","37.40","37.00","36.85","37.10","48.95","26.25",2414292,"89,569,120.20",8810
"13-Aug-2021","EQ","38.40","38.55","37.20","38.30","37.45","37.40","37.86","48.95","26.25",4047801,"153,232,160.05",9143
"12-Aug-2021","EQ","38.40","39.05","37.65","38.20","38.25","38.30","38.45","48.95","26.25",4513563,"173,525,916.40",9243
"11-Aug-2021","EQ","37.65","38.40","36.05","37.35","38.30","38.20","37.35","48.95","26.25",8072083,"301,526,720.45",16410
"10-Aug-2021","EQ","38.85","40.00","36.60","39.10","37.25","37.35","38.52","48.95","26.25",13217856,"509,174,124.65",22983
"09-Aug-2021","EQ","37.00","40.20","36.75","36.75","38.90","39.10","38.61","48.95","26.25",15218075,"587,552,664.20",25732
"06-Aug-2021","EQ","36.55","37.50","36.50","36.75","36.90","36.75","36.96","48.95","26.25",3926119,"145,128,017.50",7853
"05-Aug-2021","EQ","37.55","37.90","36.40","37.65","36.75","36.75","36.82","48.95","26.25",4440773,"163,508,541.90",9425
"04-Aug-2021","EQ","38.60","39.00","37.45","38.45","37.70","37.65","38.15","48.95","26.25",4562451,"174,043,273.10",8693
"03-Aug-2021","EQ","39.05","39.20","37.90","39.05","38.35","38.45","38.47","48.95","26.25",6445302,"247,969,619.85",14205
"02-Aug-2021","EQ","39.20","39.65","38.70","39.05","39.05","39.05","39.17","48.95","26.25",4250357,"166,467,811.45",10490
"30-Jul-2021","EQ","38.90","39.65","38.30","38.90","39.00","39.05","39.00","48.95","26.25",6236215,"243,196,911.05",12205
"29-Jul-2021","EQ","38.25","39.20","38.10","38.05","39.20","38.90","38.55","48.95","26.25",4969121,"191,562,496.50",10101
"28-Jul-2021","EQ","37.25","38.45","36.20","37.05","38.15","38.05","37.24","48.95","26.25",10540199,"392,479,006.75",20094
"27-Jul-2021","EQ","38.40","39.05","36.90","38.15","37.05","37.05","37.82","48.95","26.25",9530442,"360,453,147.50",18761
"26-Jul-2021","EQ","40.45","40.65","37.70","40.30","38.00","38.15","38.99","48.95","26.25",11799996,"460,046,191.85",24799
"23-Jul-2021","EQ","41.80","41.85","40.10","41.60","40.45","40.30","40.76","48.95","26.25",7177574,"292,590,134.50",14222
"22-Jul-2021","EQ","42.60","43.40","41.30","40.85","41.55","41.60","42.08","48.95","26.25",13402738,"563,991,421.20",22576
"20-Jul-2021","EQ","41.75","41.95","40.45","41.40","40.80","40.85","41.08","48.95","26.25",6782065,"278,616,215.35",12422
"19-Jul-2021","EQ","41.50","42.00","41.05","41.95","41.40","41.40","41.50","48.95","26.25",6564618,"272,453,392.00",11916
"16-Jul-2021","EQ","42.75","42.90","41.80","42.45","41.95","41.95","42.25","48.95","26.25",8756419,"369,963,194.95",16875
"15-Jul-2021","EQ","41.15","42.80","41.00","40.90","42.70","42.45","41.90","48.95","26.25",16683196,"699,073,964.60",20866
"14-Jul-2021","EQ","40.80","41.55","40.60","40.60","40.75","40.90","40.98","48.95","26.25",7927020,"324,862,471.85",12919
"13-Jul-2021","EQ","41.65","42.30","40.20","41.55","40.60","40.60","41.14","48.95","26.25",10579965,"435,226,809.40",17576
"12-Jul-2021","EQ","42.25","42.70","41.25","41.75","41.55","41.55","41.93","48.95","26.25",6445734,"270,253,636.85",12003
"09-Jul-2021","EQ","42.00","42.30","41.60","42.00","41.80","41.75","41.83","48.95","26.25",4110671,"171,960,747.50",6876
"08-Jul-2021","EQ","42.40","43.10","41.35","42.30","41.95","42.00","42.32","48.95","26.25",8745140,"370,094,519.80",14686
"07-Jul-2021","EQ","41.75","43.10","40.80","41.75","42.30","42.30","42.04","48.95","26.25",14054637,"590,792,007.85",20520
"06-Jul-2021","EQ","42.80","43.00","41.50","42.50","41.90","41.75","42.29","48.95","26.25",7754535,"327,963,772.80",14139
"05-Jul-2021","EQ","43.15","43.65","42.35","42.65","42.50","42.50","42.99","48.95","26.25",8228514,"353,740,868.75",13312
"02-Jul-2021","EQ","43.00","43.10","42.40","42.70","42.55","42.65","42.77","48.95","26.25",7127660,"304,863,508.65",10296
"01-Jul-2021","EQ","43.10","43.90","42.50","42.90","42.80","42.70","43.02","48.95","26.25",6894636,"296,626,042.95",17210
"30-Jun-2021","EQ","43.65","44.25","42.70","43.40","43.10","42.90","43.47","48.95","26.25",6464863,"281,000,371.05",11233
"29-Jun-2021","EQ","42.60","44.60","42.60","42.80","43.45","43.40","43.58","48.95","26.25",12502169,"544,810,644.15",19715
"28-Jun-2021","EQ","43.65","44.00","42.55","43.50","42.90","42.80","43.19","48.95","26.25",6872312,"296,819,403.35",12656
"25-Jun-2021","EQ","45.10","45.40","43.25","44.95","43.60","43.50","44.12","48.95","26.25",9001027,"397,096,061.65",15295
"24-Jun-2021","EQ","45.15","46.25","44.60","45.05","45.05","44.95","45.26","48.95","26.25",10149033,"459,316,796.95",15295
"23-Jun-2021","EQ","45.30","46.30","44.25","44.95","44.90","45.05","45.30","48.95","26.25",14277395,"646,715,421.10",22243
