Dates,PX_BID_AUD,PX_ASK_AUD,PX_BID_CAD,PX_ASK_CAD,PX_BID_CHF,PX_ASK_CHF,PX_BID_EUR,PX_ASK_EUR,PX_BID_JPY,PX_ASK_JPY,PX_BID_NOK,PX_ASK_NOK,PX_BID_NZD,PX_ASK_NZD,PX_BID_SEK,PX_ASK_SEK,PX_BID_GBP,PX_ASK_GBP
1/3/2000,0.6582,0.6587,1.4463,1.4473,1.5667,1.5672,1.0241,1.0245,101.53,101.45,7.8859,7.8909,0.5245,0.5255,8.3742,8.3792,1.6359,1.6364
1/4/2000,0.6547,0.6552,1.4525,1.453,1.5568,1.5578,1.0294,1.0298,103.2,103.23,7.9444,7.9494,0.519,0.5197,8.3785,8.3835,1.6357,1.6362
1/5/2000,0.6576,0.6581,1.4495,1.4505,1.5553,1.5491,1.0319,1.0323,104.12,104.15,7.9405,7.9455,0.5198,0.5205,8.3646,8.3696,1.6421,1.6431
1/6/2000,0.653,0.6535,1.4594,1.4604,1.5528,1.5537,1.0325,1.0329,105.21,105.24,7.9395,7.9445,0.5142,0.5149,8.3694,8.3744,1.6471,1.6476
1/7/2000,0.6546,0.6551,1.4553,1.4563,1.5641,1.5651,1.0293,1.0298,105.32,105.36,7.9723,7.9773,0.517,0.518,8.4142,8.4192,1.6388,1.6398
1/10/2000,0.6558,0.6563,1.4558,1.4563,1.5691,1.5696,1.0253,1.0258,105.14,105.17,8.0121,8.0147,0.5154,0.5161,8.4484,8.451,1.6371,1.6376
1/11/2000,0.6575,0.658,1.4568,1.4573,1.5578,1.5588,1.0333,1.0338,105.93,105.96,7.9579,7.9596,0.5176,0.5183,8.3943,8.3993,1.647,1.648
1/12/2000,0.6584,0.6589,1.4538,1.4547,1.5618,1.5623,1.0307,1.0312,105.77,105.8,7.9533,7.9583,0.5189,0.5196,8.3958,8.4008,1.6461,1.6471
1/13/2000,0.6676,0.6681,1.4505,1.451,1.5711,1.5716,1.0255,1.026,106.15,106.18,7.941,7.946,0.523,0.5237,8.4165,8.4215,1.647,1.6475
1/14/2000,0.6654,0.6659,1.4494,1.4504,1.594,1.595,1.0122,1.0125,105.85,105.89,7.9935,7.9985,0.521,0.5215,8.4724,8.4774,1.6308,1.6318
1/17/2000,0.6639,0.6644,1.4492,1.4497,1.5955,1.596,1.0121,1.0125,104.88,104.91,8.0156,8.0256,0.5191,0.5198,8.4606,8.4706,1.633,1.6335
1/18/2000,0.6651,0.6656,1.45,1.451,1.5912,1.5915,1.0135,1.0139,105.65,105.68,7.9756,7.9806,0.5164,0.5171,8.4565,8.4615,1.6376,1.6381
1/19/2000,0.6635,0.664,1.4515,1.4525,1.5927,1.5931,1.0131,1.0135,105.3,105.33,7.9847,7.9897,0.5143,0.515,8.473,8.478,1.6447,1.6452
1/20/2000,0.6655,0.666,1.4464,1.4469,1.584,1.585,1.0166,1.0171,105.45,105.48,7.9578,7.9628,0.5144,0.5151,8.4495,8.4545,1.6533,1.6538
1/21/2000,0.6626,0.6631,1.441,1.442,1.5957,1.5967,1.0095,1.01,104.76,104.8,7.9943,7.9993,0.5113,0.5117,8.4819,8.4869,1.6482,1.6492
1/24/2000,0.654,0.6545,1.4433,1.4443,1.5993,1.6003,1.007,1.0074,105.55,105.58,7.9999,8.0049,0.5059,0.5066,8.5232,8.5282,1.6528,1.6533
1/25/2000,0.655,0.6557,1.4358,1.4368,1.6105,1.611,1.0007,1.0012,106.02,106.05,8.0406,8.0456,0.5078,0.5085,8.5541,8.5591,1.6447,1.6456
1/26/2000,0.652,0.6525,1.4392,1.4397,1.6094,1.6103,1.0017,1.002,105.64,105.67,8.0586,8.0636,0.5078,0.5079,8.5088,8.5138,1.64,1.6405
1/27/2000,0.6538,0.6543,1.4345,1.435,1.6324,1.6329,0.988,0.9884,105.1,105.13,8.1368,8.1418,0.504,0.5047,8.6106,8.6156,1.6393,1.6398
1/28/2000,0.6345,0.6355,1.4456,1.4465,1.6504,1.6514,0.9746,0.9748,107.11,107.15,8.2937,8.2965,0.4915,0.4925,8.8667,8.8695,1.6196,1.6206
1/31/2000,0.6367,0.6372,1.4474,1.4484,1.6573,1.6578,0.9704,0.9709,107.3,107.33,8.3269,8.3319,0.4965,0.4972,8.8535,8.8585,1.6157,1.6167
2/1/2000,0.6321,0.6326,1.4482,1.4491,1.6568,1.6571,0.971,0.9713,107.83,107.86,8.2761,8.2807,0.4933,0.494,8.7753,8.7798,1.6148,1.6151
2/2/2000,0.6386,0.6391,1.4361,1.4369,1.6499,1.6502,0.9764,0.9767,108.14,108.17,8.2348,8.2398,0.4963,0.497,8.7311,8.7361,1.6083,1.6093
2/3/2000,0.6345,0.635,1.4415,1.4423,1.6228,1.6233,0.9892,0.9897,107.54,107.57,8.2032,8.1855,0.4942,0.4949,8.5581,8.5631,1.597,1.5975
2/4/2000,0.6377,0.6382,1.4405,1.441,1.6345,1.6354,0.983,0.9834,107.17,107.21,8.2063,8.2113,0.4962,0.4967,8.6174,8.6224,1.5913,1.5923
2/7/2000,0.6335,0.6339,1.4481,1.4491,1.6374,1.6384,0.9813,0.9818,108.6,108.63,8.2397,8.2447,0.4936,0.4943,8.6143,8.6193,1.5977,1.5982
2/8/2000,0.6314,0.6319,1.4437,1.4447,1.6313,1.6318,0.9853,0.9857,109.45,109.48,8.187,8.192,0.4911,0.4918,8.5915,8.5965,1.6108,1.6118
2/9/2000,0.6359,0.6364,1.4435,1.4445,1.6184,1.6186,0.994,0.9945,108.77,108.8,8.1316,8.1362,0.4935,0.4942,8.5194,8.524,1.6164,1.6174
2/10/2000,0.6262,0.6267,1.448,1.4485,1.6297,1.6306,0.9851,0.9856,109.25,109.28,8.174,8.1786,0.489,0.4894,8.5819,8.5865,1.6092,1.6102
2/11/2000,0.6302,0.6307,1.4498,1.4508,1.6247,1.6257,0.9872,0.9876,108.8,108.84,8.1851,8.1901,0.4905,0.4915,8.5737,8.5787,1.5931,1.5941
2/14/2000,0.626,0.6265,1.4566,1.4576,1.6445,1.645,0.978,0.9785,108.94,108.97,8.2405,8.2455,0.4856,0.4863,8.6743,8.6793,1.5864,1.5869
2/15/2000,0.6302,0.6307,1.4555,1.4565,1.6367,1.6372,0.9813,0.9818,109.2,109.23,8.2629,8.2679,0.4875,0.4882,8.6864,8.6914,1.5955,1.5965
2/16/2000,0.6316,0.6321,1.4525,1.453,1.6261,1.6266,0.9861,0.9865,109.42,109.45,8.2082,8.2132,0.4923,0.493,8.631,8.636,1.6074,1.6079
2/17/2000,0.632,0.6325,1.4502,1.4512,1.6243,1.6248,0.9876,0.988,110.54,110.57,8.2588,8.2638,0.4939,0.4946,8.6445,8.6495,1.6087,1.6092
2/18/2000,0.629,0.6295,1.4504,1.4514,1.6289,1.6299,0.9836,0.9841,111.07,111.11,8.2809,8.2855,0.491,0.4915,8.6623,8.6669,1.6008,1.6018
2/21/2000,0.6255,0.626,1.4551,1.4561,1.6232,1.6242,0.9875,0.988,111.24,111.27,8.2654,8.2704,0.487,0.4877,8.6695,8.6745,1.6,1.601
2/22/2000,0.6218,0.6223,1.4618,1.4623,1.6017,1.6027,1.0036,1.004,110.67,110.7,8.1566,8.1616,0.4894,0.4901,8.5558,8.5608,1.6124,1.6129
2/23/2000,0.6213,0.6218,1.4597,1.4607,1.6051,1.6061,1.0034,1.0038,111.03,111.11,8.1548,8.1598,0.4889,0.4896,8.5499,8.5549,1.6035,1.6043
2/24/2000,0.6152,0.6157,1.4532,1.454,1.6209,1.6213,0.9921,0.9923,111.35,111.38,8.2133,8.2092,0.4871,0.4878,8.5967,8.6017,1.6001,1.6005
2/25/2000,0.615,0.6151,1.447,1.448,1.6486,1.6496,0.9751,0.9753,110.25,110.33,8.296,8.301,0.4875,0.4879,8.6705,8.6755,1.5948,1.5958
2/28/2000,0.6145,0.615,1.4516,1.4521,1.6544,1.6549,0.9707,0.9711,109.42,109.46,8.3193,8.3243,0.4862,0.4869,8.6592,8.6642,1.5958,1.5961
2/29/2000,0.6175,0.618,1.4499,1.4495,1.6654,1.6658,0.964,0.9644,110.31,110.34,8.3857,8.3907,0.4888,0.4895,8.7465,8.7515,1.5789,1.5794
3/1/2000,0.6054,0.6059,1.4493,1.4498,1.6509,1.6519,0.9729,0.9731,107.26,107.29,8.2879,8.2929,0.4868,0.4875,8.6565,8.6615,1.5851,1.5856
3/2/2000,0.606,0.6065,1.4567,1.4572,1.6645,1.665,0.9654,0.9657,107.71,107.76,8.3503,8.3553,0.4871,0.4875,8.7736,8.7786,1.5763,1.5768
3/3/2000,0.6081,0.6085,1.45,1.451,1.6765,1.677,0.9585,0.9589,107.86,107.94,8.4151,8.4171,0.488,0.4887,8.7964,8.8014,1.5773,1.5781
3/6/2000,0.6016,0.6021,1.4533,1.4538,1.677,1.6775,0.9584,0.9588,107.52,107.55,8.4234,8.4284,0.4826,0.4833,8.7885,8.7935,1.5746,1.5751
3/7/2000,0.6048,0.6053,1.4548,1.4557,1.6759,1.6768,0.9581,0.9586,106.1,106.13,8.4165,8.4185,0.4841,0.4848,8.7865,8.7802,1.58,1.5808
3/8/2000,0.6092,0.6097,1.4555,1.4565,1.6713,1.6721,0.9606,0.961,107.15,107.18,8.4154,8.4195,0.488,0.4887,8.8096,8.8137,1.5814,1.5819
3/9/2000,0.6145,0.615,1.4571,1.4576,1.6621,1.6626,0.9668,0.9671,106.51,106.54,8.3806,8.3826,0.4932,0.4937,8.7276,8.7279,1.5824,1.5829
3/10/2000,0.6149,0.6152,1.4572,1.4579,1.6696,1.6706,0.9635,0.9639,106.33,106.37,8.4563,8.4613,0.4935,0.494,8.7245,8.722,1.576,1.577
3/13/2000,0.616,0.6165,1.461,1.462,1.6716,1.6726,0.9639,0.9644,105.47,105.57,8.4186,8.4206,0.4929,0.4936,8.7315,8.708,1.5787,1.5797
3/14/2000,0.6145,0.615,1.4645,1.4655,1.6636,1.6645,0.9683,0.9688,105.07,105.17,8.4161,8.4206,0.4878,0.4885,8.6668,8.6718,1.5775,1.578
3/15/2000,0.6132,0.6137,1.4667,1.4677,1.6678,1.6686,0.9667,0.9672,105.67,105.7,8.4425,8.4393,0.4888,0.4895,8.7387,8.7419,1.5727,1.5737
3/16/2000,0.611,0.6115,1.4731,1.4736,1.6625,1.6628,0.97,0.9705,105.33,105.41,8.4148,8.4198,0.4883,0.489,8.6901,8.6803,1.5768,1.5773
3/17/2000,0.6068,0.6068,1.4687,1.4697,1.6571,1.658,0.972,0.9722,106.71,106.74,8.4006,8.403,0.4846,0.4851,8.6399,8.6422,1.5743,1.5753
3/20/2000,0.6074,0.6079,1.4686,1.4696,1.6563,1.6573,0.9725,0.973,106.28,106.31,8.4096,8.4142,0.4865,0.487,8.635,8.6396,1.5684,1.5693
3/21/2000,0.6096,0.6101,1.4693,1.4698,1.6766,1.6764,0.9614,0.9614,106.74,106.82,8.4909,8.4959,0.489,0.4897,8.6929,8.6979,1.5714,1.5719
3/22/2000,0.6041,0.6046,1.47,1.471,1.6741,1.6746,0.9608,0.9611,107.09,107.12,8.4621,8.4666,0.4863,0.487,8.6793,8.6839,1.579,1.58
3/23/2000,0.6055,0.606,1.4688,1.4693,1.646,1.6465,0.9713,0.9717,107.24,107.25,8.3595,8.3645,0.4873,0.488,8.6408,8.6458,1.5863,1.5871
3/24/2000,0.6083,0.6088,1.4616,1.4626,1.6227,1.6237,0.9776,0.978,106.85,106.89,8.2913,8.2963,0.4889,0.4896,8.5283,8.5333,1.5936,1.5946
3/27/2000,0.6126,0.6131,1.4575,1.458,1.6422,1.6427,0.967,0.9674,106.76,106.81,8.3903,8.3949,0.5007,0.5012,8.624,8.6285,1.588,1.5885
3/28/2000,0.6161,0.6166,1.4532,1.4542,1.6556,1.6566,0.9603,0.9607,105.82,105.86,8.4164,8.4214,0.5046,0.5053,8.5614,8.5664,1.589,1.5895
3/29/2000,0.6102,0.6107,1.457,1.4563,1.6751,1.6761,0.9512,0.9517,105.73,105.65,8.4619,8.4669,0.4991,0.4998,8.659,8.664,1.5931,1.5941
3/30/2000,0.6131,0.6136,1.4541,1.4548,1.6562,1.6572,0.9611,0.9615,105.55,105.58,8.3897,8.3911,0.5009,0.5016,8.628,8.633,1.595,1.5955
3/31/2000,0.6068,0.6073,1.4483,1.4493,1.6648,1.6658,0.9554,0.9557,102.79,102.8,8.4654,8.4704,0.4962,0.4967,8.6402,8.6452,1.5906,1.5916
4/3/2000,0.6083,0.6088,1.4502,1.4512,1.6546,1.6553,0.9552,0.9555,104.88,104.91,8.4973,8.501,0.501,0.5017,8.7119,8.7156,1.596,1.5969
4/4/2000,0.6044,0.6049,1.4522,1.4527,1.6419,1.6426,0.9595,0.9597,105.13,105.18,8.4766,8.4798,0.5013,0.5018,8.6267,8.6312,1.5929,1.5934
4/5/2000,0.6058,0.6063,1.4498,1.4508,1.6356,1.6364,0.9623,0.9626,104.86,104.9,8.4707,8.4744,0.5029,0.5034,8.6279,8.6316,1.5842,1.5852
4/6/2000,0.6011,0.6016,1.4525,1.4533,1.6389,1.6399,0.9581,0.9586,104.75,104.78,8.4768,8.4818,0.501,0.5015,8.6537,8.6587,1.581,1.582
4/7/2000,0.5985,0.5987,1.4581,1.4584,1.6432,1.6442,0.955,0.9555,105.35,105.38,8.4983,8.5033,0.4999,0.5005,8.6695,8.6745,1.5792,1.58
4/10/2000,0.595,0.5955,1.4622,1.4627,1.6334,1.6343,0.9625,0.9628,106.4,106.48,8.4901,8.4895,0.496,0.4967,8.5816,8.5861,1.5851,1.586
4/11/2000,0.5955,0.596,1.463,1.464,1.6409,1.6416,0.959,0.9594,106.9,106.93,8.5222,8.5255,0.4984,0.4991,8.6422,8.6463,1.5854,1.5859
4/12/2000,0.5978,0.5983,1.4625,1.4629,1.6519,1.6529,0.9588,0.9593,105.74,105.82,8.5032,8.5082,0.4973,0.498,8.6884,8.6934,1.5881,1.5891
4/13/2000,0.598,0.5985,1.4721,1.4726,1.6508,1.6501,0.9523,0.9526,105.84,105.92,8.5434,8.5478,0.498,0.4987,8.7184,8.7229,1.5865,1.5866
4/14/2000,0.5973,0.5978,1.4763,1.4773,1.6326,1.6336,0.962,0.9625,104.72,104.76,8.4861,8.4911,0.4979,0.4986,8.6584,8.6634,1.5863,1.5873
4/17/2000,0.5906,0.5911,1.4845,1.4855,1.6486,1.6491,0.9526,0.9529,104.5,104.58,8.5943,8.5993,0.4936,0.4943,8.7352,8.7402,1.5802,1.5807
4/18/2000,0.5945,0.595,1.4807,1.4817,1.6657,1.666,0.9451,0.9455,104.72,104.75,8.6308,8.6408,0.4953,0.4957,8.7436,8.7536,1.5768,1.5773
4/19/2000,0.5954,0.5959,1.4758,1.4768,1.6692,1.6702,0.94,0.9405,104.78,104.86,8.6869,8.6919,0.4975,0.4982,8.7667,8.7717,1.5815,1.5825
4/20/2000,0.5921,0.5926,1.474,1.4745,1.6768,1.6778,0.9372,0.9377,105.75,105.78,8.6799,8.6849,0.4935,0.494,8.7936,8.7986,1.579,1.5795
4/21/2000,0.5941,0.5946,1.4721,1.4731,1.6748,1.6758,0.9383,0.9387,105.75,105.79,8.6692,8.6712,0.4935,0.4942,8.7764,8.7809,1.579,1.58
4/24/2000,0.5945,0.595,1.4768,1.4773,1.676,1.6763,0.9379,0.9382,105.76,105.79,8.6829,8.6874,0.4945,0.4955,8.8087,8.8132,1.578,1.579
4/25/2000,0.5932,0.5937,1.4672,1.4682,1.707,1.708,0.9207,0.921,106.29,106.32,8.8453,8.8503,0.4941,0.4948,8.8976,8.8929,1.5807,1.5817
4/26/2000,0.5879,0.5884,1.4741,1.475,1.7026,1.7031,0.9233,0.9237,106.25,106.28,8.8145,8.8165,0.4865,0.4872,8.8807,8.8857,1.5754,1.5758
4/27/2000,0.5869,0.5874,1.4763,1.4768,1.7269,1.7274,0.9096,0.9101,106.39,106.47,8.955,8.96,0.4863,0.487,8.9495,8.9545,1.5718,1.5721
4/28/2000,0.5836,0.5841,1.4798,1.48,1.7152,1.7162,0.9118,0.912,108.14,108.22,8.9427,8.9477,0.4849,0.4856,8.9052,8.9102,1.5508,1.5518
5/1/2000,0.5822,0.5829,1.4785,1.4795,1.7084,1.7089,0.9156,0.916,108.72,108.8,8.9007,8.9057,0.487,0.4877,8.8958,8.9008,1.5531,1.5541
5/2/2000,0.5842,0.5847,1.4858,1.4795,1.7112,1.7122,0.9097,0.9102,108.39,108.42,8.9122,8.9172,0.4844,0.4851,8.9188,8.9238,1.5599,1.5609
5/3/2000,0.592,0.5925,1.4931,1.4941,1.7243,1.7253,0.8946,0.895,108.96,109.04,9.0112,9.0162,0.4906,0.4913,9.0196,9.0246,1.5606,1.5616
5/4/2000,0.5909,0.5914,1.4948,1.4958,1.7401,1.7406,0.8894,0.8898,107.99,108.07,9.1244,9.1294,0.4903,0.491,9.1196,9.1246,1.5407,1.5417
5/5/2000,0.5962,0.5967,1.4896,1.4906,1.7317,1.7327,0.8968,0.8972,108.52,108.6,9.0808,9.0858,0.4918,0.4925,9.0967,9.1017,1.5298,1.5308
5/8/2000,0.581,0.5815,1.4914,1.4924,1.7259,1.7269,0.8974,0.8978,108.98,109.01,9.0732,9.0752,0.482,0.4827,9.0723,9.0749,1.5327,1.5337
5/9/2000,0.5853,0.5858,1.4908,1.4918,1.7144,1.7154,0.9072,0.9077,109.15,109.23,9.0165,9.0215,0.4815,0.4822,9.0195,9.0245,1.5306,1.5316
5/10/2000,0.5804,0.5809,1.4922,1.4932,1.7099,1.711,0.9066,0.907,109.51,109.54,9.017,9.022,0.4757,0.482,9.019,9.029,1.5115,1.512
5/11/2000,0.5807,0.5812,1.4876,1.4886,1.7265,1.727,0.9014,0.9018,108.48,108.56,9.1288,9.1297,0.4787,0.4794,9.1863,9.1913,1.5033,1.5038
5/12/2000,0.5808,0.5813,1.485,1.486,1.6905,1.6915,0.9195,0.9198,108.45,108.49,8.9188,8.9238,0.4795,0.48,8.9911,8.9961,1.5197,1.5207
5/15/2000,0.571,0.5715,1.4859,1.4869,1.7069,1.7074,0.911,0.9114,109.28,109.31,8.9751,8.9735,0.4706,0.4713,9.0794,9.0702,1.5051,1.5056
5/16/2000,0.5764,0.5769,1.4835,1.4845,1.7206,1.7211,0.9002,0.9006,109.63,109.68,9.0689,9.0709,0.4721,0.4728,9.1129,9.1179,1.4929,1.4937
5/17/2000,0.5685,0.569,1.4966,1.4976,1.7335,1.7345,0.8958,0.896,109.3,109.33,9.118,9.123,0.4622,0.4629,9.1297,9.133,1.4965,1.497
5/18/2000,0.5711,0.5716,1.4985,1.4995,1.7375,1.7385,0.8944,0.8948,108.61,108.69,9.1206,9.1256,0.4515,0.4525,9.1195,9.1245,1.483,1.484
5/19/2000,0.5739,0.5744,1.4962,1.4972,1.7294,1.7304,0.8973,0.8977,106.96,107,9.1079,9.1129,0.4566,0.4571,9.1449,9.1499,1.4868,1.4875
5/22/2000,0.5713,0.5718,1.4967,1.4977,1.721,1.722,0.9028,0.9033,107.1,107.18,9.1236,9.1286,0.4574,0.4581,9.2202,9.2252,1.4922,1.4927
5/23/2000,0.574,0.575,1.506,1.5065,1.7218,1.7216,0.9069,0.9074,106.4,106.43,9.1156,9.1206,0.459,0.4597,9.1875,9.1925,1.4766,1.4771
5/24/2000,0.5705,0.5715,1.5088,1.5093,1.7237,1.7245,0.9042,0.9046,107.19,107.29,9.1596,9.1646,0.4529,0.4537,9.2011,9.2061,1.4749,1.4754
5/25/2000,0.568,0.569,1.5023,1.5033,1.714,1.7145,0.9113,0.9117,107.32,107.4,9.0694,9.0744,0.4527,0.4534,9.141,9.146,1.4699,1.4704
5/26/2000,0.5733,0.5738,1.5026,1.5036,1.6831,1.6841,0.9306,0.9311,107.13,107.17,8.8623,8.8673,0.4585,0.4595,9.0347,9.0397,1.4895,1.4905
5/29/2000,0.5721,0.5726,1.4989,1.4994,1.6917,1.6927,0.9264,0.9269,107.01,107.06,8.9771,8.9821,0.457,0.4577,9.0785,9.0835,1.4922,1.4927
5/30/2000,0.5749,0.5754,1.5052,1.5057,1.6878,1.6888,0.93,0.9303,106.51,106.59,8.8736,8.8786,0.4588,0.4595,9.0136,9.0186,1.4969,1.4971
5/31/2000,0.5722,0.5727,1.4963,1.4968,1.6795,1.6805,0.9377,0.9382,107.64,107.67,8.8891,8.8941,0.4573,0.458,8.9322,8.9372,1.5011,1.5016
6/1/2000,0.5718,0.5723,1.4902,1.4912,1.6866,1.6876,0.9311,0.9312,108.48,108.56,8.9137,8.9187,0.4567,0.4574,8.9476,8.9526,1.4939,1.4949
6/2/2000,0.5795,0.58,1.4767,1.4772,1.6627,1.6637,0.9465,0.9466,107.98,108.03,8.7683,8.7733,0.4647,0.4652,8.8182,8.8232,1.5093,1.5103
6/5/2000,0.5817,0.5822,1.479,1.4792,1.6609,1.6619,0.9477,0.9481,107.3,107.35,8.7302,8.7352,0.4679,0.4686,8.7995,8.8045,1.5191,1.5201
6/6/2000,0.5884,0.5889,1.4771,1.4776,1.6451,1.6461,0.9545,0.955,105.75,105.85,8.6746,8.6796,0.4709,0.4716,8.7225,8.7275,1.5281,1.5286
6/7/2000,0.5934,0.5939,1.478,1.479,1.6296,1.6301,0.962,0.9625,105.3,105.33,8.6031,8.6081,0.4738,0.4745,8.6465,8.6515,1.5219,1.5229
6/8/2000,0.5884,0.5889,1.4765,1.4773,1.6402,1.6412,0.9557,0.9561,105.81,105.86,8.6979,8.7029,0.4684,0.4691,8.7406,8.7456,1.5103,1.5113
6/9/2000,0.5878,0.5883,1.4742,1.4752,1.6412,1.6422,0.9534,0.9539,106.89,106.93,8.7064,8.7114,0.4685,0.469,8.713,8.718,1.5091,1.5101
6/12/2000,0.5915,0.592,1.4761,1.4766,1.637,1.638,0.9536,0.954,106.81,106.89,8.6768,8.6818,0.4709,0.4716,8.6912,8.6962,1.5128,1.5133
6/13/2000,0.596,0.5965,1.4677,1.4687,1.6289,1.6291,0.9594,0.9598,106.9,106.95,8.6294,8.6344,0.472,0.4727,8.6093,8.6143,1.5065,1.507
6/14/2000,0.599,0.6,1.4672,1.4682,1.6339,1.6344,0.9577,0.9582,106.59,106.67,8.5865,8.5915,0.4737,0.4744,8.5442,8.5492,1.4987,1.4992
6/15/2000,0.6025,0.603,1.4749,1.4759,1.6352,1.6357,0.9545,0.9549,106.44,106.47,8.5969,8.6019,0.4701,0.4708,8.6022,8.6072,1.5118,1.5123
6/16/2000,0.606,0.6065,1.4657,1.4662,1.617,1.618,0.9647,0.9652,106.37,106.45,8.585,8.59,0.477,0.4775,8.627,8.632,1.5152,1.5157
6/19/2000,0.6008,0.6013,1.4654,1.4652,1.6307,1.6312,0.9565,0.957,105.87,105.95,8.614,8.619,0.4735,0.4742,8.6543,8.6593,1.5112,1.5117
6/20/2000,0.6025,0.603,1.4703,1.4707,1.6278,1.6288,0.9545,0.9549,105.49,105.57,8.6301,8.6351,0.4753,0.476,8.6367,8.6417,1.5181,1.5191
6/21/2000,0.602,0.6025,1.4733,1.4738,1.6395,1.6405,0.944,0.9444,105.5,105.6,8.6963,8.7013,0.475,0.4757,8.7228,8.7278,1.499,1.4995
6/22/2000,0.5963,0.5968,1.4766,1.4771,1.6547,1.6557,0.9353,0.9357,104.53,104.61,8.7687,8.7737,0.47,0.4707,8.8433,8.8483,1.5122,1.5127
6/23/2000,0.5943,0.5948,1.4826,1.4831,1.6583,1.6593,0.9356,0.9361,104.73,104.77,8.7364,8.7414,0.47,0.4705,8.8646,8.8696,1.5006,1.5016
6/26/2000,0.5968,0.5973,1.483,1.4835,1.6514,1.6524,0.9366,0.9371,105.63,105.68,8.77,8.775,0.4698,0.4705,8.9243,8.9293,1.4967,1.4972
6/27/2000,0.6012,0.6017,1.4797,1.4807,1.6337,1.6347,0.9457,0.9462,105.33,105.38,8.6785,8.6835,0.4712,0.4719,8.8447,8.8497,1.507,1.5075
6/28/2000,0.6019,0.6024,1.478,1.4785,1.6492,1.6491,0.94,0.9401,105.55,105.59,8.6996,8.7046,0.4677,0.4684,8.9097,8.9147,1.5128,1.5133
6/29/2000,0.6005,0.601,1.4819,1.4829,1.6351,1.6361,0.9517,0.9522,105.3,105.34,8.587,8.592,0.4668,0.4675,8.841,8.846,1.5183,1.5193
6/30/2000,0.5971,0.5976,1.4814,1.4805,1.6338,1.6348,0.9523,0.9528,106.1,106.14,8.5934,8.5984,0.4684,0.4689,8.8244,8.8294,1.5136,1.5146
7/3/2000,0.598,0.5985,1.4808,1.4813,1.6364,1.6374,0.9499,0.9503,105.65,105.73,8.6143,8.6193,0.466,0.4667,8.8171,8.8221,1.513,1.514
7/4/2000,0.598,0.5985,1.4847,1.4852,1.6328,1.6338,0.951,0.9515,106.07,106.12,8.6055,8.6105,0.4645,0.4652,8.821,8.826,1.515,1.5155
7/5/2000,0.5892,0.5897,1.4889,1.4899,1.6239,1.6249,0.9523,0.9527,106.92,107,8.5991,8.6041,0.4604,0.4611,8.8279,8.8329,1.5071,1.5076
